timestamp,amount,temperature,humidity,windspeed
1708425368000,136.83,-6.1,55,4.63
1708438868000,175.66,-2.5,43,3.09
1708438868000,224.62,-2.5,43,3.09
1708438868000,258.45,-2.5,43,3.09
1708438868000,282.16,-2.5,43,3.09
1708438868000,298.55,-2.5,43,3.09
1708438868000,309.87,-2.5,43,3.09
1708438868000,314.97,-2.5,43,3.09
1708438868000,321.22,-2.5,43,3.09
1708438868000,328.1,-2.5,43,3.09
1708438868000,331.66,-2.5,43,3.09
1708438868000,335.31,-2.5,43,3.09
1708438868000,338.17,-2.5,43,3.09
1708438868000,339.81,-2.5,43,3.09
1708438868000,341.48,-2.5,43,3.09
1708438868000,345.06,-2.5,43,3.09
1708438868000,346.97,-2.5,43,3.09
1708438868000,345.43,-2.5,43,3.09
1708438868000,342.5,-2.5,43,3.09
1708438868000,340.43,-2.5,43,3.09
1708438868000,343.25,-2.5,43,3.09
1708438868000,345.2,-2.5,43,3.09
1708438868000,351.91,-2.5,43,3.09
1708438868000,348.8,-2.5,43,3.09
1708438868000,351.76,-2.5,43,3.09
1708438868000,349.2,-2.5,43,3.09
1708438868000,346.24,-2.5,43,3.09
1708438868000,349.57,-2.5,43,3.09
1708438868000,351.95,-2.5,43,3.09
1708438868000,350.36,-2.5,43,3.09
1708438868000,352.5,-2.5,43,3.09
1708438868000,346.81,-2.5,43,3.09
1708438868000,341.86,-2.5,43,3.09
1708438868000,338.43,-2.5,43,3.09
1708438868000,335.1,-2.5,43,3.09
1708438868000,337.51,-2.5,43,3.09
1708438868000,332.36,-2.5,43,3.09
1708438868000,328.8,-2.5,43,3.09
1708438868000,337.26,-2.5,43,3.09
1708438868000,348.57,-2.5,43,3.09
1708438868000,353.65,-2.5,43,3.09
1708438868000,357.16,-2.5,43,3.09
1708438868000,359.59,-2.5,43,3.09
1708438868000,363.65,-2.5,43,3.09
1708438868000,365.9,-2.5,43,3.09
1708438868000,362.91,-2.5,43,3.09
1708438868000,359.98,-2.5,43,3.09
1708438868000,363.07,-2.5,43,3.09
1708438868000,360.94,-2.5,43,3.09
1708438868000,363.74,-2.5,43,3.09
1708438868000,365.67,-2.5,43,3.09
1708438868000,362.73,-2.5,43,3.09
1708438868000,359.86,-2.5,43,3.09
1708438868000,354.62,-2.5,43,3.09
1708438868000,351.01,-2.5,43,3.09
1708438868000,348.51,-2.5,43,3.09
1708438868000,341.32,-2.5,43,3.09
1708438868000,336.36,-2.5,43,3.09
1708438868000,332.93,-2.5,43,3.09
1708438868000,342.84,-2.5,43,3.09
1708438868000,331.44,-2.5,43,3.09
1708438868000,343.35,-2.5,43,3.09
1708438868000,345.61,-2.5,43,3.09
1708438868000,347.17,-2.5,43,3.09
1708438868000,345.53,-2.5,43,3.09
1708438868000,343.54,-2.5,43,3.09
1708438868000,340.62,-2.5,43,3.09
1708438868000,338.6,-2.5,43,3.09
1708438868000,342.4,-2.5,43,3.09
1708438868000,344.69,-2.5,43,3.09
1708438868000,330.62,-2.5,43,3.09
1708438868000,321.62,-2.5,43,3.09
1708438868000,310.63,-2.5,43,3.09
1708438868000,307.81,-2.5,43,3.09
1708438868000,326.27,-2.5,43,3.09
1708438868000,323.22,-2.5,43,3.09
1708438868000,336.14,-2.5,43,3.09
1708438868000,344.15,-2.5,43,3.09
1708438868000,340.36,-2.5,43,3.09
1708438868000,337.74,-2.5,43,3.09
1708438868000,335.93,-2.5,43,3.09
1708438868000,333.65,-2.5,43,3.09
1708438868000,326.45,-2.5,43,3.09
1708438869000,321.24,-2.5,43,3.09
1708438869000,317.19,-2.5,43,3.09
1708438869000,321.15,-2.5,43,3.09
1708438869000,323.1,-2.5,43,3.09
1708438869000,334,-2.5,43,3.09
1708438869000,336.25,-2.5,43,3.09
1708438869000,338.82,-2.5,43,3.09
1708438869000,340.6,-2.5,43,3.09
1708438869000,342.56,-2.5,43,3.09
1708438869000,338.58,-2.5,43,3.09
1708438869000,335.83,-2.5,43,3.09
1708438869000,333.93,-2.5,43,3.09
1708438869000,330.66,-2.5,43,3.09
1708438869000,328.31,-2.5,43,3.09
1708438869000,326.34,-2.5,43,3.09
1708438869000,335.05,-2.5,43,3.09
1708438869000,341.07,-2.5,43,3.09
1708438869000,345.22,-2.5,43,3.09
1708438869000,342.34,-2.5,43,3.09
1708438869000,340.47,-2.5,43,3.09
1708438869000,338.64,-2.5,43,3.09
1708438869000,343.21,-2.5,43,3.09
1708438869000,346.36,-2.5,43,3.09
1708438869000,341.51,-2.5,43,3.09
1708438869000,339.24,-2.5,43,3.09
1708438869000,343,-2.5,43,3.09
1708438869000,344.67,-2.5,43,3.09
1708438869000,341.79,-2.5,43,3.09
1708438869000,338.48,-2.5,43,3.09
1708438869000,343.35,-2.5,43,3.09
1708438869000,348.34,-2.5,43,3.09
1708438869000,351.1,-2.5,43,3.09
1708438869000,353.01,-2.5,43,3.09
1708438869000,350.24,-2.5,43,3.09
1708438869000,348.15,-2.5,43,3.09
1708438869000,338.34,-2.5,43,3.09
1708438869000,331.57,-2.5,43,3.09
1708438869000,326.89,-2.5,43,3.09
1708438869000,332.01,-2.5,43,3.09
1708438869000,335.56,-2.5,43,3.09
1708438869000,338,-2.5,43,3.09
1708438869000,339.7,-2.5,43,3.09
1708438869000,352.26,-2.5,43,3.09
1708438869000,348.01,-2.5,43,3.09
1708438869000,350.88,-2.5,43,3.09
1708438869000,345.69,-2.5,43,3.09
1708438869000,342.1,-2.5,43,3.09
1708438869000,339.63,-2.5,43,3.09
1708438869000,337.92,-2.5,43,3.09
1708438869000,332.5,-2.5,43,3.09
1708438869000,342.21,-2.5,43,3.09
1708438869000,336.29,-2.5,43,3.09
1708438869000,344.82,-2.5,43,3.09
1708438869000,348.33,-2.5,43,3.09
1708438869000,350.76,-2.5,43,3.09
1708438869000,352.43,-2.5,43,3.09
1708438869000,348.25,-2.5,43,3.09
1708438869000,344.55,-2.5,43,3.09
1708438869000,342,-2.5,43,3.09
1708438869000,340.24,-2.5,43,3.09
1708438869000,342.22,-2.5,43,3.09
1708438869000,347.38,-2.5,43,3.09
1708438869000,345.56,-2.5,43,3.09
1708438869000,338.4,-2.5,43,3.09
1708438869000,341,-2.5,43,3.09
1708438869000,338.86,-2.5,43,3.09
1708438869000,336.37,-2.5,43,3.09
1708438869000,334.84,-2.5,43,3.09
1708438869000,340.32,-2.5,43,3.09
1708438869000,344.02,-2.5,43,3.09
1708438869000,347.18,-2.5,43,3.09
1708438869000,342.65,-2.5,43,3.09
1708438869000,344.27,-2.5,43,3.09
1708438869000,340.78,-2.5,43,3.09
1708438869000,338.37,-2.5,43,3.09
1708438869000,336.71,-2.5,43,3.09
1708438869000,327.54,-2.5,43,3.09
1708438869000,321.2,-2.5,43,3.09
1708438869000,316.82,-2.5,43,3.09
1708438869000,334.1,-2.5,43,3.09
1708438869000,325.74,-2.5,43,3.09
1708438869000,319.1,-2.5,43,3.09
1708438869000,314.52,-2.5,43,3.09
1708438869000,327.39,-2.5,43,3.09
1708438869000,336.74,-2.5,43,3.09
1708438869000,342.23,-2.5,43,3.09
1708438869000,346.03,-2.5,43,3.09
1708438869000,348.65,-2.5,43,3.09
1708438869000,350.47,-2.5,43,3.09
1708438870000,357.69,-2.5,43,3.09
1708438870000,362.69,-2.5,43,3.09
1708438870000,364.94,-2.5,43,3.09
1708438870000,361.04,-2.5,43,3.09
1708438870000,359.05,-2.5,43,3.09
1708438870000,356.68,-2.5,43,3.09
1708438870000,340.87,-2.5,43,3.09
1708438870000,348.84,-2.5,43,3.09
1708438870000,345.82,-2.5,43,3.09
1708438870000,352.26,-2.5,43,3.09
1708438870000,354.67,-2.5,43,3.09
1708438870000,356.33,-2.5,43,3.09
1708438870000,350.99,-2.5,43,3.09
1708438870000,324.95,-2.5,43,3.09
1708438870000,306.96,-2.5,43,3.09
1708438870000,294.52,-2.5,43,3.09
1708438870000,311.87,-2.5,43,3.09
1708438870000,323.86,-2.5,43,3.09
1708438870000,332.14,-2.5,43,3.09
1708438870000,335.81,-2.5,43,3.09
